modelo,metrica,rotulo,media,desvio_padrao
ConvNeXt-Tiny,roc_auc,AUC ROC,0.97089881912979,0.0059325171378783
ConvNeXt-Tiny,pr_auc_precisao_media,AUC PR,0.9607075972645518,0.0121252695386075
ConvNeXt-Tiny,acuracia_balanceada,Acc. bal.,0.9091431215586352,0.0114629066016703
ConvNeXt-Tiny,sensibilidade_anormal,Sens.,0.8994417336041899,0.0480278843245941
ConvNeXt-Tiny,especificidade_normal,Espec.,0.9188445095130804,0.039977688546073
ConvNeXt-Tiny,mcc,MCC,0.8189477703612619,0.0208442214186136
ResNet-50,roc_auc,AUC ROC,0.966783424532104,0.0082042267688437
ResNet-50,pr_auc_precisao_media,AUC PR,0.951283443502813,0.0186052654719264
ResNet-50,acuracia_balanceada,Acc. bal.,0.9105466090573784,0.013918614390593
ResNet-50,sensibilidade_anormal,Sens.,0.9001092729391447,0.0343547697021114
ResNet-50,especificidade_normal,Espec.,0.920983945175612,0.0264276088549632
ResNet-50,mcc,MCC,0.8205252209012004,0.0262115874139943
