id_imagem,arquivo_imagem,id_celula,classe_bethesda,rotulo_binario,alvo,nucleo_x,nucleo_y,caminho_imagem,caminho_recorte,particao,fold,prob_anormal,alvo_predito,predicao,acerto
215,3b73689cbb3b2a04a1a713230459f7e5.png,4856,Negative for intraepithelial lesion,normal,0,137,381,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_215_3b73689cbb3b2a04a1a713230459f7e5.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img215_cell4856_normal.png,treino,1,0.011136501,0,normal,1
26,584d79af21c45131e9af9d54d2c2b8e4.png,10675,Negative for intraepithelial lesion,normal,0,648,138,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_026_584d79af21c45131e9af9d54d2c2b8e4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img026_cell10675_normal.png,teste,1,0.011508149,0,normal,1
48,c7c3f56a4d110b49099830b0f65251a3.png,9974,Negative for intraepithelial lesion,normal,0,997,854,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_048_c7c3f56a4d110b49099830b0f65251a3.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img048_cell9974_normal.png,treino,1,0.21543325,0,normal,1
130,a42845987c650d7243ad0c08e97debf5.png,6801,Negative for intraepithelial lesion,normal,0,1078,914,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_130_a42845987c650d7243ad0c08e97debf5.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img130_cell6801_normal.png,treino,1,0.88803256,1,anormal,0
320,5921d98f5baacc86b3a1445540c858ee.png,2482,Negative for intraepithelial lesion,normal,0,784,110,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_320_5921d98f5baacc86b3a1445540c858ee.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img320_cell2482_normal.png,treino,1,0.012182376,0,normal,1
8,1f8274db391ed2747c0c3a8560bf6d3a.png,11349,Negative for intraepithelial lesion,normal,0,1174,4,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_008_1f8274db391ed2747c0c3a8560bf6d3a.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img008_cell11349_normal.png,validacao,1,0.0842664,0,normal,1
144,b8491225e9d46d5f48c33c310b7d2755.png,6191,Negative for intraepithelial lesion,normal,0,668,702,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_144_b8491225e9d46d5f48c33c310b7d2755.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img144_cell6191_normal.png,treino,1,0.012182376,0,normal,1
249,bd7e1530680d11547db567150fa7c403.png,3995,Negative for intraepithelial lesion,normal,0,703,567,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_249_bd7e1530680d11547db567150fa7c403.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img249_cell3995_normal.png,validacao,1,0.015769396,0,normal,1
276,5d8297d46d5babc9aaba0652a2a5051f.png,3353,Negative for intraepithelial lesion,normal,0,170,972,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_276_5d8297d46d5babc9aaba0652a2a5051f.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img276_cell3353_normal.png,treino,1,0.011309892,0,normal,1
124,d87688d665139adb1d9dec9f902fa4a9.png,6987,Negative for intraepithelial lesion,normal,0,509,184,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_124_d87688d665139adb1d9dec9f902fa4a9.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img124_cell6987_normal.png,treino,1,0.012576347,0,normal,1
364,92eb1f2563016d967eb885ee1a5fd2dd.png,1326,Negative for intraepithelial lesion,normal,0,514,124,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_364_92eb1f2563016d967eb885ee1a5fd2dd.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img364_cell1326_normal.png,treino,1,0.012383786,0,normal,1
212,6e20d6ec569513933f5768d5424b7e86.png,4890,Negative for intraepithelial lesion,normal,0,74,74,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_212_6e20d6ec569513933f5768d5424b7e86.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img212_cell4890_normal.png,treino,1,0.016898682,0,normal,1
337,16032768fe56bbb933730762d726d263.png,2175,Negative for intraepithelial lesion,normal,0,1184,560,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_337_16032768fe56bbb933730762d726d263.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img337_cell2175_normal.png,treino,1,0.011642225,0,normal,1
130,a42845987c650d7243ad0c08e97debf5.png,6800,Negative for intraepithelial lesion,normal,0,846,763,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_130_a42845987c650d7243ad0c08e97debf5.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img130_cell6800_normal.png,treino,1,0.012833582,0,normal,1
151,8042f9c026bca2cf1761489102ea284f.png,5905,Negative for intraepithelial lesion,normal,0,1260,277,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_151_8042f9c026bca2cf1761489102ea284f.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img151_cell5905_normal.png,treino,1,0.012053779,0,normal,1
52,ed6b37f3f850247337f16501fe5fa7fd.png,9802,Negative for intraepithelial lesion,normal,0,673,330,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_052_ed6b37f3f850247337f16501fe5fa7fd.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img052_cell9802_normal.png,treino,1,0.98507166,1,anormal,0
2,9d0f43b29d78f673e9caf77928b4af3c.png,11477,Negative for intraepithelial lesion,normal,0,1219,902,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_002_9d0f43b29d78f673e9caf77928b4af3c.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img002_cell11477_normal.png,treino,1,0.012053779,0,normal,1
154,49c8feec9afcd85f1f9b16908c34bdca.png,5833,Negative for intraepithelial lesion,normal,0,133,559,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_154_49c8feec9afcd85f1f9b16908c34bdca.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img154_cell5833_normal.png,validacao,1,0.011463797,0,normal,1
39,dd569f426f91cc5d6a20804c800d6eb3.png,10217,Negative for intraepithelial lesion,normal,0,706,27,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_039_dd569f426f91cc5d6a20804c800d6eb3.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img039_cell10217_normal.png,treino,1,0.013159262,0,normal,1
8,1f8274db391ed2747c0c3a8560bf6d3a.png,11335,Negative for intraepithelial lesion,normal,0,626,693,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_008_1f8274db391ed2747c0c3a8560bf6d3a.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img008_cell11335_normal.png,validacao,1,0.012970385,0,normal,1
22,d67cd01defdc182ca48cee14e776f22c.png,10847,Negative for intraepithelial lesion,normal,0,186,525,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_022_d67cd01defdc182ca48cee14e776f22c.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img022_cell10847_normal.png,treino,1,0.013096004,0,normal,1
154,49c8feec9afcd85f1f9b16908c34bdca.png,5836,Negative for intraepithelial lesion,normal,0,510,496,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_154_49c8feec9afcd85f1f9b16908c34bdca.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img154_cell5836_normal.png,validacao,1,0.01124456,0,normal,1
26,584d79af21c45131e9af9d54d2c2b8e4.png,10714,Negative for intraepithelial lesion,normal,0,676,396,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_026_584d79af21c45131e9af9d54d2c2b8e4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img026_cell10714_normal.png,teste,1,0.080574244,0,normal,1
22,d67cd01defdc182ca48cee14e776f22c.png,10852,Negative for intraepithelial lesion,normal,0,126,717,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_022_d67cd01defdc182ca48cee14e776f22c.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img022_cell10852_normal.png,treino,1,0.019813737,0,normal,1
110,05332b67f94b5d1adbd8177bd8e1ff0b.png,7457,Negative for intraepithelial lesion,normal,0,1220,827,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_110_05332b67f94b5d1adbd8177bd8e1ff0b.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img110_cell7457_normal.png,treino,1,0.01170984,0,normal,1
11,90d08f57cdeb58238879b4af949d4f50.png,11263,Negative for intraepithelial lesion,normal,0,348,25,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_011_90d08f57cdeb58238879b4af949d4f50.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img011_cell11263_normal.png,treino,1,0.22832853,0,normal,1
8,1f8274db391ed2747c0c3a8560bf6d3a.png,11312,Negative for intraepithelial lesion,normal,0,111,519,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_008_1f8274db391ed2747c0c3a8560bf6d3a.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img008_cell11312_normal.png,validacao,1,0.013584393,0,normal,1
206,a9a16f442db25098459cc72d4e816c2d.png,4994,Negative for intraepithelial lesion,normal,0,498,670,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_206_a9a16f442db25098459cc72d4e816c2d.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img206_cell4994_normal.png,treino,1,0.6808256,1,anormal,0
