id_imagem,arquivo_imagem,id_celula,classe_bethesda,rotulo_binario,alvo,nucleo_x,nucleo_y,caminho_imagem,caminho_recorte,particao,fold,prob_anormal,alvo_predito,predicao,acerto,rank
376,da21a895881b3ba7d6108dba4a4ce17a.png,1050,Negative for intraepithelial lesion,normal,0,473,487,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_376_da21a895881b3ba7d6108dba4a4ce17a.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img376_cell1050_normal.png,treino,5,0.006265534,0,normal,1,0.006265534
135,8d62bc0267b58954ef9fa8e355d6ec22.png,6559,Negative for intraepithelial lesion,normal,0,543,187,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_135_8d62bc0267b58954ef9fa8e355d6ec22.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img135_cell6559_normal.png,treino,5,0.006450608,0,normal,1,0.006450608
27,36a2bc6bae69351df86a4a2fe4d49c2a.png,10736,Negative for intraepithelial lesion,normal,0,764,604,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_027_36a2bc6bae69351df86a4a2fe4d49c2a.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img027_cell10736_normal.png,treino,5,0.0065769986,0,normal,1,0.0065769986
60,05481195119c8cfb884bf1462b53b004.png,9483,HSIL,anormal,1,255,738,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_060_05481195119c8cfb884bf1462b53b004.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\anormal\img060_cell9483_anormal.png,treino,5,0.9925249,1,anormal,1,-0.9925249
60,05481195119c8cfb884bf1462b53b004.png,9481,HSIL,anormal,1,263,779,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_060_05481195119c8cfb884bf1462b53b004.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\anormal\img060_cell9481_anormal.png,treino,5,0.9924374,1,anormal,1,-0.9924374
64,69a7526d382f793aaccd7dfe79dd2901.png,9220,ASC-H,anormal,1,981,524,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_064_69a7526d382f793aaccd7dfe79dd2901.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\anormal\img064_cell9220_anormal.png,teste,5,0.9924374,1,anormal,1,-0.9924374
20,edc748c10f4cd73535452d54b0d7a1a6.png,10990,Negative for intraepithelial lesion,normal,0,312,915,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_020_edc748c10f4cd73535452d54b0d7a1a6.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img020_cell10990_normal.png,validacao,2,0.5519247,1,anormal,0,0.051924706
206,a9a16f442db25098459cc72d4e816c2d.png,4994,Negative for intraepithelial lesion,normal,0,498,670,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_206_a9a16f442db25098459cc72d4e816c2d.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img206_cell4994_normal.png,treino,1,0.6808256,1,anormal,0,0.18082559
349,0c2a10baed0650fa1f7bb87e5d83a545.png,1749,Negative for intraepithelial lesion,normal,0,1204,487,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_349_0c2a10baed0650fa1f7bb87e5d83a545.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\normal\img349_cell1749_normal.png,treino,2,0.6854759,1,anormal,0,0.18547589
1,be340ee72689dfe3f8dc9c24de6127f4.png,11505,LSIL,anormal,1,615,200,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\cric_cervix\images\cric_image_001_be340ee72689dfe3f8dc9c24de6127f4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa\Pesquisa - Karielly\outputs_binary\crops\anormal\img001_cell11505_anormal.png,teste,5,0.49456805,0,normal,0,0.00543195
