arquitetura,modelo,metrica,media,desvio_padrao,media_pm_dp
convnext_tiny,ConvNeXt-Tiny,roc_auc,0.97089881912979,0.005932517137878368,0.9709 +/- 0.0059
convnext_tiny,ConvNeXt-Tiny,pr_auc_precisao_media,0.9607075972645518,0.012125269538607516,0.9607 +/- 0.0121
convnext_tiny,ConvNeXt-Tiny,acuracia_balanceada,0.9091431215586351,0.011462906601670325,0.9091 +/- 0.0115
convnext_tiny,ConvNeXt-Tiny,sensibilidade_anormal,0.8994417336041899,0.04802788432459412,0.8994 +/- 0.0480
convnext_tiny,ConvNeXt-Tiny,especificidade_normal,0.9188445095130803,0.03997768854607308,0.9188 +/- 0.0400
convnext_tiny,ConvNeXt-Tiny,f1_anormal,0.8925862119658141,0.012831840563814822,0.8926 +/- 0.0128
convnext_tiny,ConvNeXt-Tiny,mcc,0.8189477703612619,0.02084422141861366,0.8189 +/- 0.0208
convnext_tiny,ConvNeXt-Tiny,kappa_cohen,0.8164344773829985,0.022275423628989575,0.8164 +/- 0.0223
convnext_tiny,ConvNeXt-Tiny,brier_score,0.06992309764027593,0.007857729151882528,0.0699 +/- 0.0079
resnet50,ResNet-50,roc_auc,0.9667834245321041,0.008204226768843767,0.9668 +/- 0.0082
resnet50,ResNet-50,pr_auc_precisao_media,0.951283443502813,0.018605265471926497,0.9513 +/- 0.0186
resnet50,ResNet-50,acuracia_balanceada,0.9105466090573783,0.01391861439059301,0.9105 +/- 0.0139
resnet50,ResNet-50,sensibilidade_anormal,0.9001092729391447,0.03435476970211144,0.9001 +/- 0.0344
resnet50,ResNet-50,especificidade_normal,0.9209839451756119,0.02642760885496326,0.9210 +/- 0.0264
resnet50,ResNet-50,f1_anormal,0.8943201188564347,0.01612652131728692,0.8943 +/- 0.0161
resnet50,ResNet-50,mcc,0.8205252209012004,0.026211587413994392,0.8205 +/- 0.0262
resnet50,ResNet-50,kappa_cohen,0.8195108359227659,0.02712341918108012,0.8195 +/- 0.0271
resnet50,ResNet-50,brier_score,0.0671263217926025,0.009593316036060541,0.0671 +/- 0.0096
