id_imagem,fold,celulas,normais,anormais
2,1,20,7,13
8,1,47,45,2
11,1,28,27,1
22,1,52,52,0
26,1,70,66,4
36,1,16,11,5
39,1,41,14,27
41,1,21,12,9
42,1,12,5,7
43,1,18,12,6
48,1,47,13,34
50,1,26,8,18
52,1,38,21,17
59,1,32,5,27
62,1,78,9,69
63,1,72,0,72
67,1,37,9,28
73,1,123,2,121
84,1,43,2,41
92,1,32,1,31
93,1,25,0,25
95,1,42,4,38
98,1,11,2,9
102,1,16,16,0
104,1,8,8,0
108,1,39,39,0
110,1,18,18,0
122,1,27,27,0
124,1,45,45,0
126,1,28,28,0
130,1,55,55,0
131,1,15,15,0
132,1,59,59,0
136,1,37,37,0
144,1,41,41,0
146,1,33,33,0
151,1,25,25,0
153,1,31,31,0
154,1,29,29,0
160,1,16,14,2
166,1,7,6,1
178,1,5,4,1
180,1,14,6,8
183,1,29,10,19
188,1,44,0,44
193,1,25,11,14
206,1,17,14,3
212,1,13,12,1
215,1,15,12,3
227,1,6,3,3
229,1,77,0,77
233,1,17,12,5
237,1,15,0,15
248,1,43,21,22
249,1,38,31,7
266,1,27,25,2
269,1,12,11,1
271,1,20,18,2
276,1,38,36,2
278,1,26,23,3
282,1,11,0,11
288,1,26,18,8
296,1,21,19,2
315,1,20,8,12
320,1,14,11,3
330,1,26,13,13
333,1,6,4,2
337,1,50,49,1
346,1,17,11,6
347,1,14,7,7
352,1,21,14,7
353,1,3,1,2
354,1,19,7,12
356,1,18,12,6
360,1,46,32,14
364,1,22,18,4
370,1,23,22,1
6,2,14,13,1
9,2,12,6,6
18,2,52,51,1
20,2,9,8,1
21,2,22,19,3
28,2,45,45,0
31,2,77,76,1
37,2,38,36,2
58,2,59,1,58
61,2,46,10,36
65,2,89,1,88
71,2,104,0,104
78,2,51,0,51
82,2,35,30,5
87,2,28,4,24
88,2,23,2,21
89,2,15,1,14
99,2,6,4,2
101,2,19,2,17
105,2,4,4,0
107,2,8,8,0
116,2,58,58,0
117,2,53,53,0
120,2,24,24,0
121,2,40,40,0
137,2,48,48,0
138,2,42,40,2
141,2,42,42,0
142,2,26,26,0
150,2,21,21,0
158,2,13,7,6
161,2,21,12,9
162,2,17,16,1
164,2,5,4,1
167,2,15,11,4
170,2,7,3,4
175,2,4,1,3
184,2,19,9,10
187,2,11,4,7
189,2,13,4,9
195,2,12,10,2
197,2,8,6,2
200,2,5,1,4
214,2,24,22,2
216,2,21,19,2
219,2,2,1,1
220,2,37,33,4
221,2,27,25,2
225,2,28,21,7
231,2,9,8,1
239,2,14,12,2
240,2,41,36,5
253,2,12,9,3
256,2,17,11,6
264,2,21,20,1
272,2,41,25,16
279,2,22,4,18
280,2,16,10,6
281,2,40,38,2
286,2,7,2,5
293,2,39,36,3
295,2,9,6,3
299,2,8,7,1
301,2,5,3,2
303,2,30,29,1
305,2,18,9,9
308,2,20,9,11
316,2,23,20,3
317,2,3,0,3
323,2,18,11,7
335,2,16,11,5
344,2,14,7,7
345,2,6,2,4
348,2,53,5,48
349,2,24,21,3
361,2,74,26,48
367,2,21,15,6
372,2,25,15,10
375,2,21,7,14
381,2,10,5,5
383,2,18,6,12
389,2,85,37,48
390,2,47,7,40
394,2,85,6,79
7,3,52,46,6
13,3,62,60,2
19,3,36,31,5
23,3,44,37,7
24,3,14,10,4
35,3,39,36,3
38,3,47,34,13
44,3,37,11,26
51,3,69,44,25
57,3,53,0,53
66,3,51,2,49
72,3,33,8,25
77,3,40,1,39
79,3,13,4,9
80,3,12,2,10
85,3,77,3,74
90,3,19,6,13
97,3,29,3,26
111,3,34,34,0
112,3,44,44,0
129,3,50,50,0
139,3,17,17,0
140,3,61,61,0
145,3,24,24,0
155,3,48,48,0
163,3,10,7,3
165,3,8,7,1
168,3,32,3,29
172,3,11,1,10
173,3,38,9,29
181,3,21,14,7
190,3,17,3,14
194,3,9,7,2
196,3,7,6,1
199,3,14,12,2
201,3,14,10,4
202,3,10,9,1
203,3,7,2,5
205,3,18,15,3
208,3,35,32,3
211,3,16,7,9
217,3,22,12,10
222,3,15,14,1
226,3,19,13,6
235,3,46,42,4
236,3,63,59,4
243,3,15,8,7
246,3,31,17,14
251,3,21,15,6
254,3,10,6,4
257,3,24,20,4
265,3,38,33,5
298,3,10,9,1
300,3,6,4,2
304,3,22,18,4
309,3,19,15,4
311,3,31,28,3
312,3,46,44,2
318,3,11,6,5
322,3,9,3,6
327,3,18,11,7
328,3,34,28,6
340,3,69,35,34
342,3,15,6,9
343,3,20,7,13
363,3,17,16,1
366,3,24,17,7
377,3,6,5,1
378,3,36,35,1
379,3,15,13,2
382,3,21,20,1
385,3,19,12,7
386,3,11,0,11
392,3,16,10,6
395,3,113,6,107
396,3,106,13,93
400,3,47,6,41
14,4,28,26,2
15,4,36,33,3
16,4,45,43,2
25,4,56,54,2
30,4,46,46,0
32,4,19,13,6
45,4,33,25,8
46,4,16,1,15
47,4,21,1,20
69,4,32,5,27
70,4,93,2,91
74,4,57,3,54
75,4,51,7,44
76,4,76,0,76
86,4,31,0,31
91,4,69,1,68
94,4,10,1,9
96,4,21,0,21
103,4,15,15,0
119,4,20,20,0
133,4,31,31,0
134,4,34,34,0
143,4,29,29,0
147,4,44,44,0
149,4,49,49,0
152,4,25,25,0
174,4,27,21,6
176,4,24,8,16
182,4,19,10,9
185,4,7,4,3
192,4,38,22,16
198,4,8,7,1
209,4,9,8,1
210,4,10,7,3
218,4,17,15,2
224,4,27,24,3
241,4,5,0,5
245,4,28,9,19
247,4,13,11,2
252,4,52,39,13
255,4,42,40,2
260,4,30,29,1
267,4,20,18,2
268,4,25,23,2
270,4,10,5,5
275,4,44,39,5
277,4,62,59,3
283,4,9,5,4
285,4,26,5,21
292,4,23,21,2
297,4,11,10,1
306,4,16,13,3
307,4,17,12,5
313,4,7,0,7
314,4,14,2,12
325,4,5,3,2
329,4,8,7,1
332,4,7,6,1
336,4,12,9,3
338,4,56,48,8
339,4,136,66,70
341,4,12,3,9
350,4,52,35,17
351,4,24,12,12
358,4,16,12,4
359,4,23,11,12
365,4,9,8,1
371,4,94,93,1
373,4,20,17,3
387,4,62,37,25
397,4,91,0,91
398,4,44,8,36
1,5,42,11,31
3,5,13,10,3
4,5,16,5,11
5,5,28,16,12
10,5,17,3,14
12,5,7,6,1
17,5,25,23,2
27,5,37,37,0
29,5,48,47,1
33,5,46,41,5
34,5,4,2,2
40,5,11,1,10
49,5,20,15,5
53,5,29,7,22
54,5,17,3,14
55,5,75,0,75
56,5,38,11,27
60,5,68,1,67
64,5,89,1,88
68,5,97,0,97
81,5,10,4,6
83,5,23,8,15
100,5,35,0,35
106,5,7,7,0
109,5,41,41,0
113,5,24,24,0
114,5,39,39,0
115,5,19,19,0
118,5,34,34,0
123,5,26,26,0
125,5,58,58,0
127,5,26,26,0
128,5,15,15,0
135,5,55,55,0
148,5,79,79,0
156,5,14,14,0
157,5,32,32,0
159,5,16,14,2
169,5,7,6,1
171,5,13,4,9
177,5,15,13,2
179,5,8,4,4
186,5,16,11,5
191,5,12,2,10
204,5,11,10,1
207,5,4,2,2
213,5,15,13,2
223,5,6,5,1
228,5,23,20,3
230,5,28,2,26
232,5,12,11,1
234,5,52,50,2
238,5,18,0,18
242,5,44,35,9
244,5,12,6,6
250,5,37,30,7
258,5,13,10,3
259,5,9,7,2
261,5,19,18,1
262,5,17,15,2
263,5,9,8,1
273,5,11,1,10
274,5,21,19,2
284,5,41,36,5
287,5,6,2,4
289,5,20,13,7
290,5,6,4,2
291,5,10,4,6
294,5,7,5,2
302,5,12,6,6
310,5,54,49,5
319,5,13,8,5
321,5,26,17,9
324,5,7,3,4
326,5,6,2,4
331,5,33,14,19
334,5,31,5,26
355,5,18,14,4
357,5,14,7,7
362,5,44,36,8
368,5,11,6,5
369,5,4,3,1
374,5,17,7,10
376,5,5,4,1
380,5,4,2,2
384,5,102,25,77
388,5,23,12,11
391,5,35,27,8
393,5,9,6,3
399,5,40,5,35
