id_imagem,arquivo_imagem,id_celula,classe_bethesda,rotulo_binario,alvo,nucleo_x,nucleo_y,caminho_imagem,caminho_recorte
400,9ae8a4edde40219bad6303cebc672ee4.png,1,SCC,anormal,1,792,462,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0001_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,2,SCC,anormal,1,601,678,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0002_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,3,SCC,anormal,1,363,467,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0003_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,4,SCC,anormal,1,599,437,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0004_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,5,Negative for intraepithelial lesion,normal,0,1186,450,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img400_cell0005_normal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,6,Negative for intraepithelial lesion,normal,0,408,599,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img400_cell0006_normal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,7,LSIL,anormal,1,483,293,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0007_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,8,LSIL,anormal,1,814,121,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0008_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,9,HSIL,anormal,1,532,312,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0009_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,10,ASC-H,anormal,1,638,245,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0010_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,11,ASC-H,anormal,1,648,192,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0011_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,12,ASC-H,anormal,1,637,142,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0012_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,13,ASC-H,anormal,1,594,127,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0013_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,14,ASC-H,anormal,1,536,88,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0014_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,15,ASC-H,anormal,1,637,104,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0015_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,16,ASC-H,anormal,1,903,220,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0016_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,17,ASC-H,anormal,1,840,248,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0017_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,18,LSIL,anormal,1,76,148,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0018_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,19,LSIL,anormal,1,60,178,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0019_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,20,LSIL,anormal,1,80,218,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0020_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,21,LSIL,anormal,1,103,293,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0021_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,22,LSIL,anormal,1,124,292,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0022_anormal.png
400,9ae8a4edde40219bad6303cebc672ee4.png,23,LSIL,anormal,1,122,272,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_400_9ae8a4edde40219bad6303cebc672ee4.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img400_cell0023_anormal.png
