Regime,M?trica,Valor,IC_low,IC_high,IC95
"0,50",AUC ROC,0.9831919042988152,0.9680468675312045,0.9921101456775773,"0,9832 [0,9680--0,9921]"
"0,50",AUC PR,0.9826793921257716,0.9537976654131565,0.993374420221909,"0,9827 [0,9538--0,9934]"
"0,50",Sensibilidade,0.9402390438247012,0.8801312521750134,0.973685780680819,"0,9402 [0,8801--0,9737]"
"0,50",Especificidade,0.9440069991251093,0.9086695547572216,0.9697230919281085,"0,9440 [0,9087--0,9697]"
"0,50",Acc. bal.,0.9421230214749052,0.909370182172122,0.9635004113807951,"0,9421 [0,9094--0,9635]"
"0,50",F1,0.9383697813121272,0.8884972630365888,0.9654650555979286,"0,9384 [0,8885--0,9655]"
"0,50",MCC,0.8840380715053491,0.8202989487548602,0.9261162218654341,"0,8840 [0,8203--0,9261]"
"0,50",Kappa,0.884031885699351,0.8190594609496864,0.9260652714251089,"0,8840 [0,8191--0,9261]"
"0,50",Brier,0.04728960003165407,0.03031589463729481,0.06956329799758723,"0,0473 [0,0303--0,0696]"
Youden,AUC ROC,0.9831919042988152,0.9681086271157983,0.9923331529470175,"0,9832 [0,9681--0,9923]"
Youden,AUC PR,0.9826793921257716,0.9536620767006329,0.993418770422701,"0,9827 [0,9537--0,9934]"
Youden,Sensibilidade,0.952191235059761,0.8939467177218464,0.9829061567670192,"0,9522 [0,8939--0,9829]"
Youden,Especificidade,0.9282589676290464,0.8924756582879794,0.9561137286824422,"0,9283 [0,8925--0,9561]"
Youden,Acc. bal.,0.9402251013444036,0.9084024958077752,0.9608071688840693,"0,9402 [0,9084--0,9608]"
Youden,F1,0.9363369245837414,0.8853475033399295,0.9640109893119473,"0,9363 [0,8853--0,9640]"
Youden,MCC,0.8790838864602682,0.814974852761229,0.9217958134303513,"0,8791 [0,8150--0,9218]"
Youden,Kappa,0.8786409666633331,0.8136685816261064,0.9210731716476005,"0,8786 [0,8137--0,9211]"
Youden,Brier,0.04728960003165407,0.029844515019474945,0.06955830949825312,"0,0473 [0,0298--0,0696]"
Alta sens.,AUC ROC,0.9831919042988152,0.9687985447881193,0.9920481198766518,"0,9832 [0,9688--0,9920]"
Alta sens.,AUC PR,0.9826793921257716,0.9556393654973382,0.993488189988865,"0,9827 [0,9556--0,9935]"
Alta sens.,Sensibilidade,0.9701195219123506,0.9342493720285902,0.9902313629007272,"0,9701 [0,9342--0,9902]"
Alta sens.,Especificidade,0.8722659667541557,0.8238882290147495,0.9138843197222681,"0,8723 [0,8239--0,9139]"
Alta sens.,Acc. bal.,0.9211927443332532,0.894993006316235,0.9440843552689421,"0,9212 [0,8950--0,9441]"
Alta sens.,F1,0.9171374764595104,0.856787509842188,0.9513881362509657,"0,9171 [0,8568--0,9514]"
Alta sens.,MCC,0.8414079582091898,0.7765829833891928,0.8891966303496719,"0,8414 [0,7766--0,8892]"
Alta sens.,Kappa,0.8365087908455445,0.7668570292230908,0.8869274844725457,"0,8365 [0,7669--0,8869]"
Alta sens.,Brier,0.04728960003165407,0.030277739138122456,0.06813560476848898,"0,0473 [0,0303--0,0681]"
